name,genre
 Azuquita ,
 B Coolin ,
 B. Howard ,Pop
 B. Smyth ,R&B
 B.B. King ,Blues/Folk
 B.Connected ,
 B.G. ,Hip-Hop/Rap
 B.J. Thomas ,Country
 B.Morgan ,R&B/Soul
 B.o.B ,Hip-Hop/Rap
 B2K ,Hip-Hop/Rap
 Bsekrs ,
 Baba Sehgal ,Hip-Hop
 Babacar Y El Sabor Inter... ,
 Babbie Mason ,Inspirational
 Babbu Maan ,
 Babes in Toyland ,Alternative
 Babla ,
 Babloo ,
 Baby Bash ,Hip-Hop
 Baby Boy ,Hip-Hop
 Baby Consuelo ,
 Baby Dre' ,
 Baby E ,
 Baby Erin ,Hip-Hop/Rap
 Baby Gabi ,
 Baby Rasta ,Latin
 Baby Smiley ,
 Babyface ,R&B/Soul
 Babyface Benji ,Hip-Hop/Rap
 Baccara ,Pop
 BachmanTurner Overdrive ,Classic Rock
 Back Door Slam ,Rock
 Backstreet Boys ,Pop
 Bad 4 Good ,
 Bad Company ,Classic Rock
 Bad Meets Evil ,Hip-Hop
 Bad Religion ,Punk
 Baden Powell ,Jazz
 Badi Assad ,World/International
 Baha Men ,World/International
 Baillie  the Boys ,Comics and Games
 Balkar Sidhu ,
 Balloon (Rock) ,
 Ballyhoo ,Alternative
 Balraj Sahni ,
 BamBam ,Dance
 Bana ,World/Reggae
 Bananarama ,New Wave
 Band of Horses ,Rock
 Banda Degollado ,
 Banda El Chante ,Chelsea Settles
 Banda el Limn ,Latin
 Banda El Recodo ,Latin
 Banda Los Recoditos ,Latin
 Banda Maguey ,Latin
 Banda Mel ,
 Banda Ms ,Latin
 Banda pequeos musical ,
 Bands Of The Salvation Army ,
 BanglA MentalZ ,Hip-Hop/Rap
 Bangtan Boys ,
 Banjo ,
 Bank Notes ,Hip-Hop/Rap
 Bankroll Bird ,Hip-Hop/Rap
 BANKS ,Alternative
 BANNERS ,
 Bantam ,
 Bng Kiu ,
 Barbara A. Carkenord ,
 Barbara Borden ,
 Barbara Fairchild ,Country
 Barbara Lee ,
 Barbara Lynn ,R&B/Soul
 Barbara Mandrell ,Country
 Barbra Streisand ,Pop
 Barclay Allen ,
 Bardo Pond ,Alternative
 Bare Necessities ,Blues/Folk
 Barefoot Man ,
 Barenaked Ladies ,Adult Alternative
 Baria Qureshi ,
 Barley Wik ,
 Barney Kessel ,Jazz
 Barratt Waugh ,Alternative
 Barrie Guard ,
 Barry Bailey ,
 Barry Bostwick ,
 Barry Covington ,
 Barry Gibb ,Alternative
 Barry Manilow ,Adult Contemporary
 Barry White ,Soul
 Bart Crow ,Alternative Country
 Baseline ,
 Bashful Brother Oswald ,
 Basia ,House
 Basia Bulat ,Rock
 Bass AllStars ,
 Bass Erotica ,
 Bass Turbat ,Electronic
 Bassman  DJ Lace ,
 Bassnectar ,Electronic
 Bastille ,Alternative
 Bat for Lashes ,Rock
 Bat McGrath ,
 Battle Tapes ,Alternative
 Bavarian Radio Chorus ,
 Bavarian Radio Symphony Orchestra ,Classical
 Bavgate ,
 BaxterCacavas ,
 Bay City Rollers ,Classic Rock
 Bazuka ,Easy Listening/Vocal
 Bazzar Royal ,
 BBC Scottish Symphony Orchestra ,
 BD The Topmost ,Hip-Hop/Rap
 Bea Miller ,Pop
 Beacon ,Electronic/Dance
 Beacon Light Mass Choir  Bishop Darryl S. Brister ,
 Beanie Sigel ,Hip-Hop/Rap
 Bear McCreary ,Soundtracks/Musicals
 Beard Bates ,Alternative
 Beastie Boys ,Punk
 Beastly ,
 Beatriz Adriana ,
 Beau Allen ,
 Beautiful Nubia ,
 Bebe ,Latin
 BeBe Winans ,R&B/Soul
 Bebo Mor ,
 Becca Rae ,Singer/Songwriter
 Beck ,Alternative
 Becky G ,Pop
 Becky Hobbs ,Country
 Bee Gees ,Disco
 Beenie Man ,Dancehall
